(10,)
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
flatten_1 (Flatten)          (None, 10)                0         
_________________________________________________________________
dense_1 (Dense)              (None, 512)               5632      
_________________________________________________________________
activation_1 (Activation)    (None, 512)               0         
_________________________________________________________________
dense_2 (Dense)              (None, 512)               262656    
_________________________________________________________________
activation_2 (Activation)    (None, 512)               0         
_________________________________________________________________
dense_3 (Dense)              (None, 5)                 2565      
_________________________________________________________________
activation_3 (Activation)    (None, 5)                 0         
=================================================================
Total params: 270,853
Trainable params: 270,853
Non-trainable params: 0
_________________________________________________________________
None
load model
Training for 500000 steps ...
[F[K     39/500000: episode: 1, duration: 0.562s, episode steps: 39, steps per second: 69, episode reward: 39.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.154 [0.000, 4.000], mean observation: 0.498 [0.470, 0.510], loss: 0.880180, mean_absolute_error: 82.667548, mean_q: 104.039556
[F[K  30279/500000: episode: 503, duration: 0.866s, episode steps: 54, steps per second: 62, episode reward: 54.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.519 [0.000, 4.000], mean observation: 0.516 [0.470, 0.610], loss: 7.383067, mean_absolute_error: 32.859203, mean_q: 42.291828
[F[K  30374/500000: episode: 504, duration: 1.468s, episode steps: 95, steps per second: 65, episode reward: 95.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.842 [0.000, 4.000], mean observation: 0.510 [0.460, 0.600], loss: 7.229906, mean_absolute_error: 32.313499, mean_q: 41.923317
[F[K  30412/500000: episode: 505, duration: 0.680s, episode steps: 38, steps per second: 56, episode reward: 38.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.842 [0.000, 4.000], mean observation: 0.516 [0.470, 0.640], loss: 7.505024, mean_absolute_error: 32.993652, mean_q: 42.480751
[F[K  30477/500000: episode: 506, duration: 1.127s, episode steps: 65, steps per second: 58, episode reward: 65.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.477 [0.000, 4.000], mean observation: 0.516 [0.480, 0.620], loss: 7.828338, mean_absolute_error: 31.882936, mean_q: 41.147583
[F[K  30544/500000: episode: 507, duration: 1.222s, episode steps: 67, steps per second: 55, episode reward: 67.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.119 [0.000, 4.000], mean observation: 0.489 [0.420, 0.520], loss: 6.285261, mean_absolute_error: 32.093487, mean_q: 41.577549
[F[K  30619/500000: episode: 508, duration: 1.245s, episode steps: 75, steps per second: 60, episode reward: 75.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.693 [0.000, 4.000], mean observation: 0.487 [0.370, 0.530], loss: 7.205559, mean_absolute_error: 32.797363, mean_q: 42.363224
[F[K  30677/500000: episode: 509, duration: 0.924s, episode steps: 58, steps per second: 63, episode reward: 58.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.638 [0.000, 4.000], mean observation: 0.502 [0.440, 0.590], loss: 7.213269, mean_absolute_error: 32.393219, mean_q: 41.650478
[F[K  30740/500000: episode: 510, duration: 0.952s, episode steps: 63, steps per second: 66, episode reward: 63.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.889 [0.000, 4.000], mean observation: 0.493 [0.390, 0.530], loss: 7.691432, mean_absolute_error: 31.892853, mean_q: 41.213219
[F[K  30812/500000: episode: 511, duration: 1.042s, episode steps: 72, steps per second: 69, episode reward: 72.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.944 [0.000, 4.000], mean observation: 0.510 [0.470, 0.610], loss: 6.500491, mean_absolute_error: 32.066669, mean_q: 41.469299
[F[K  30872/500000: episode: 512, duration: 0.986s, episode steps: 60, steps per second: 61, episode reward: 60.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.533 [0.000, 4.000], mean observation: 0.493 [0.450, 0.520], loss: 6.204349, mean_absolute_error: 32.738659, mean_q: 42.366463
[F[K  30931/500000: episode: 513, duration: 1.001s, episode steps: 59, steps per second: 59, episode reward: 59.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.661 [0.000, 4.000], mean observation: 0.493 [0.440, 0.530], loss: 7.032190, mean_absolute_error: 32.894398, mean_q: 42.460743
[F[K  30986/500000: episode: 514, duration: 0.739s, episode steps: 55, steps per second: 74, episode reward: 55.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.509 [0.000, 4.000], mean observation: 0.518 [0.470, 0.600], loss: 6.250786, mean_absolute_error: 33.309593, mean_q: 43.026131
[F[K  31019/500000: episode: 515, duration: 0.602s, episode steps: 33, steps per second: 55, episode reward: 33.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.515 [0.000, 4.000], mean observation: 0.529 [0.470, 0.650], loss: 7.877086, mean_absolute_error: 32.021584, mean_q: 41.246567
[F[K  31081/500000: episode: 516, duration: 0.976s, episode steps: 62, steps per second: 64, episode reward: 62.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.774 [0.000, 4.000], mean observation: 0.485 [0.370, 0.520], loss: 7.186603, mean_absolute_error: 32.131084, mean_q: 41.482193
[F[K  31138/500000: episode: 517, duration: 0.898s, episode steps: 57, steps per second: 63, episode reward: 57.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.140 [0.000, 4.000], mean observation: 0.486 [0.380, 0.520], loss: 6.781368, mean_absolute_error: 32.472576, mean_q: 41.909973
[F[K  31216/500000: episode: 518, duration: 1.224s, episode steps: 78, steps per second: 64, episode reward: 78.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.603 [0.000, 4.000], mean observation: 0.509 [0.440, 0.650], loss: 7.507965, mean_absolute_error: 32.771198, mean_q: 42.231007
[F[K  31286/500000: episode: 519, duration: 1.105s, episode steps: 70, steps per second: 63, episode reward: 70.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.943 [0.000, 4.000], mean observation: 0.498 [0.430, 0.530], loss: 6.489201, mean_absolute_error: 33.289795, mean_q: 43.008198
[F[K  31357/500000: episode: 520, duration: 1.144s, episode steps: 71, steps per second: 62, episode reward: 71.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.451 [0.000, 4.000], mean observation: 0.502 [0.450, 0.580], loss: 5.852083, mean_absolute_error: 32.724113, mean_q: 42.271198
[F[K  31426/500000: episode: 521, duration: 1.102s, episode steps: 69, steps per second: 63, episode reward: 69.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.246 [0.000, 4.000], mean observation: 0.507 [0.450, 0.620], loss: 7.528317, mean_absolute_error: 32.505936, mean_q: 41.860355
[F[K  31502/500000: episode: 522, duration: 1.490s, episode steps: 76, steps per second: 51, episode reward: 76.000, mean reward: 1.000 [1.000, 1.000], mean action: 3.053 [0.000, 4.000], mean observation: 0.516 [0.460, 0.590], loss: 7.075277, mean_absolute_error: 32.750626, mean_q: 42.228481
[F[K  31574/500000: episode: 523, duration: 1.008s, episode steps: 72, steps per second: 71, episode reward: 72.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.750 [0.000, 4.000], mean observation: 0.505 [0.470, 0.580], loss: 7.202960, mean_absolute_error: 32.359329, mean_q: 41.735733
[F[K  31631/500000: episode: 524, duration: 0.928s, episode steps: 57, steps per second: 61, episode reward: 57.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.754 [0.000, 4.000], mean observation: 0.484 [0.360, 0.510], loss: 6.955624, mean_absolute_error: 32.993778, mean_q: 42.607113
[F[K  31690/500000: episode: 525, duration: 0.869s, episode steps: 59, steps per second: 68, episode reward: 59.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.492 [0.000, 4.000], mean observation: 0.498 [0.400, 0.590], loss: 7.242697, mean_absolute_error: 31.921137, mean_q: 41.273640
[F[K  31741/500000: episode: 526, duration: 0.783s, episode steps: 51, steps per second: 65, episode reward: 51.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.784 [0.000, 4.000], mean observation: 0.495 [0.370, 0.580], loss: 7.688806, mean_absolute_error: 32.550648, mean_q: 41.992077
[F[K  31795/500000: episode: 527, duration: 1.022s, episode steps: 54, steps per second: 53, episode reward: 54.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.574 [0.000, 4.000], mean observation: 0.482 [0.360, 0.510], loss: 7.009366, mean_absolute_error: 32.828785, mean_q: 42.303638
[F[K  31859/500000: episode: 528, duration: 1.146s, episode steps: 64, steps per second: 56, episode reward: 64.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.609 [0.000, 4.000], mean observation: 0.505 [0.420, 0.650], loss: 6.799933, mean_absolute_error: 32.636822, mean_q: 42.217583
[F[K  31905/500000: episode: 529, duration: 0.747s, episode steps: 46, steps per second: 62, episode reward: 46.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.457 [0.000, 4.000], mean observation: 0.501 [0.350, 0.630], loss: 6.280911, mean_absolute_error: 32.676319, mean_q: 42.160465
[F[K  31983/500000: episode: 530, duration: 1.276s, episode steps: 78, steps per second: 61, episode reward: 78.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.769 [0.000, 4.000], mean observation: 0.494 [0.450, 0.530], loss: 6.727055, mean_absolute_error: 32.862381, mean_q: 42.315544
[F[K  32042/500000: episode: 531, duration: 1.014s, episode steps: 59, steps per second: 58, episode reward: 59.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.983 [0.000, 4.000], mean observation: 0.513 [0.470, 0.580], loss: 6.421870, mean_absolute_error: 32.466911, mean_q: 41.938358
[F[K  32150/500000: episode: 532, duration: 1.891s, episode steps: 108, steps per second: 57, episode reward: 108.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.398 [0.000, 4.000], mean observation: 0.493 [0.410, 0.560], loss: 6.569229, mean_absolute_error: 33.053864, mean_q: 42.597004
[F[K  32213/500000: episode: 533, duration: 1.036s, episode steps: 63, steps per second: 61, episode reward: 63.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.762 [0.000, 4.000], mean observation: 0.478 [0.370, 0.530], loss: 6.299146, mean_absolute_error: 32.428265, mean_q: 41.759926
[F[K  32281/500000: episode: 534, duration: 1.161s, episode steps: 68, steps per second: 59, episode reward: 68.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.265 [0.000, 4.000], mean observation: 0.503 [0.480, 0.530], loss: 7.251789, mean_absolute_error: 32.415020, mean_q: 41.763683
[F[K  32340/500000: episode: 535, duration: 1.001s, episode steps: 59, steps per second: 59, episode reward: 59.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.831 [0.000, 4.000], mean observation: 0.502 [0.410, 0.600], loss: 6.992939, mean_absolute_error: 33.366150, mean_q: 42.962124
[F[K  32375/500000: episode: 536, duration: 0.525s, episode steps: 35, steps per second: 67, episode reward: 35.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.600 [0.000, 4.000], mean observation: 0.524 [0.470, 0.640], loss: 7.689710, mean_absolute_error: 31.322670, mean_q: 40.559658
[F[K  32442/500000: episode: 537, duration: 1.071s, episode steps: 67, steps per second: 63, episode reward: 67.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.687 [0.000, 4.000], mean observation: 0.484 [0.370, 0.530], loss: 7.142883, mean_absolute_error: 31.910496, mean_q: 41.068150
[F[K  32534/500000: episode: 538, duration: 1.408s, episode steps: 92, steps per second: 65, episode reward: 92.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.293 [0.000, 4.000], mean observation: 0.503 [0.420, 0.590], loss: 6.669806, mean_absolute_error: 33.021732, mean_q: 42.623291
[F[K  32625/500000: episode: 539, duration: 1.544s, episode steps: 91, steps per second: 59, episode reward: 91.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.758 [0.000, 4.000], mean observation: 0.507 [0.460, 0.590], loss: 7.801382, mean_absolute_error: 32.411324, mean_q: 41.798649
[F[K  32672/500000: episode: 540, duration: 0.685s, episode steps: 47, steps per second: 69, episode reward: 47.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.340 [0.000, 4.000], mean observation: 0.504 [0.390, 0.640], loss: 6.873294, mean_absolute_error: 32.419682, mean_q: 41.696819
[F[K  32747/500000: episode: 541, duration: 1.322s, episode steps: 75, steps per second: 57, episode reward: 75.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.680 [0.000, 4.000], mean observation: 0.500 [0.470, 0.530], loss: 6.941433, mean_absolute_error: 32.226154, mean_q: 41.617939
[F[K  32807/500000: episode: 542, duration: 1.153s, episode steps: 60, steps per second: 52, episode reward: 60.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.067 [0.000, 4.000], mean observation: 0.519 [0.490, 0.600], loss: 7.840165, mean_absolute_error: 32.428143, mean_q: 41.780399
[F[K  32863/500000: episode: 543, duration: 0.900s, episode steps: 56, steps per second: 62, episode reward: 56.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.839 [0.000, 4.000], mean observation: 0.501 [0.360, 0.640], loss: 6.645829, mean_absolute_error: 32.788872, mean_q: 42.379963
[F[K  32912/500000: episode: 544, duration: 0.875s, episode steps: 49, steps per second: 56, episode reward: 49.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.776 [0.000, 4.000], mean observation: 0.510 [0.470, 0.570], loss: 6.071425, mean_absolute_error: 32.433929, mean_q: 41.928272
[F[K  32993/500000: episode: 545, duration: 1.360s, episode steps: 81, steps per second: 60, episode reward: 81.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.951 [0.000, 4.000], mean observation: 0.489 [0.410, 0.530], loss: 7.502013, mean_absolute_error: 32.763779, mean_q: 42.171520
[F[K  33049/500000: episode: 546, duration: 0.746s, episode steps: 56, steps per second: 75, episode reward: 56.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.857 [0.000, 4.000], mean observation: 0.504 [0.370, 0.650], loss: 7.605680, mean_absolute_error: 32.275661, mean_q: 41.739159
[F[K  33134/500000: episode: 547, duration: 1.170s, episode steps: 85, steps per second: 73, episode reward: 85.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.506 [0.000, 4.000], mean observation: 0.503 [0.470, 0.540], loss: 7.429387, mean_absolute_error: 32.767830, mean_q: 42.312984
[F[K  33206/500000: episode: 548, duration: 0.993s, episode steps: 72, steps per second: 73, episode reward: 72.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.361 [0.000, 4.000], mean observation: 0.497 [0.380, 0.570], loss: 6.390696, mean_absolute_error: 32.367622, mean_q: 41.737148
[F[K  33263/500000: episode: 549, duration: 0.776s, episode steps: 57, steps per second: 73, episode reward: 57.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.421 [0.000, 4.000], mean observation: 0.513 [0.470, 0.630], loss: 6.403009, mean_absolute_error: 33.136429, mean_q: 42.613800
[F[K  33318/500000: episode: 550, duration: 0.836s, episode steps: 55, steps per second: 66, episode reward: 55.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.545 [0.000, 4.000], mean observation: 0.510 [0.470, 0.600], loss: 7.452799, mean_absolute_error: 32.492519, mean_q: 41.844833
[F[K  33381/500000: episode: 551, duration: 0.990s, episode steps: 63, steps per second: 64, episode reward: 63.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.111 [0.000, 4.000], mean observation: 0.502 [0.360, 0.660], loss: 6.891512, mean_absolute_error: 32.216934, mean_q: 41.601982
[F[K  33421/500000: episode: 552, duration: 0.727s, episode steps: 40, steps per second: 55, episode reward: 40.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.425 [0.000, 3.000], mean observation: 0.505 [0.410, 0.660], loss: 8.387975, mean_absolute_error: 32.451103, mean_q: 41.752865
[F[K  33492/500000: episode: 553, duration: 1.069s, episode steps: 71, steps per second: 66, episode reward: 71.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.634 [0.000, 4.000], mean observation: 0.511 [0.480, 0.600], loss: 7.227019, mean_absolute_error: 32.967079, mean_q: 42.441807
[F[K  33568/500000: episode: 554, duration: 1.110s, episode steps: 76, steps per second: 68, episode reward: 76.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.395 [0.000, 4.000], mean observation: 0.486 [0.380, 0.530], loss: 6.899919, mean_absolute_error: 32.168354, mean_q: 41.453548
[F[K  33621/500000: episode: 555, duration: 0.710s, episode steps: 53, steps per second: 75, episode reward: 53.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.151 [0.000, 4.000], mean observation: 0.512 [0.470, 0.650], loss: 7.361931, mean_absolute_error: 33.220669, mean_q: 42.764278
[F[K  33705/500000: episode: 556, duration: 1.267s, episode steps: 84, steps per second: 66, episode reward: 84.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.000 [0.000, 4.000], mean observation: 0.499 [0.410, 0.550], loss: 7.079241, mean_absolute_error: 32.374413, mean_q: 41.746380
[F[K  33764/500000: episode: 557, duration: 0.950s, episode steps: 59, steps per second: 62, episode reward: 59.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.831 [0.000, 4.000], mean observation: 0.500 [0.370, 0.620], loss: 6.527539, mean_absolute_error: 32.182201, mean_q: 41.623020
[F[K  33847/500000: episode: 558, duration: 1.253s, episode steps: 83, steps per second: 66, episode reward: 83.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.024 [0.000, 4.000], mean observation: 0.490 [0.390, 0.530], loss: 6.409442, mean_absolute_error: 32.388641, mean_q: 41.776108
[F[K  33908/500000: episode: 559, duration: 1.006s, episode steps: 61, steps per second: 61, episode reward: 61.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.197 [0.000, 4.000], mean observation: 0.494 [0.440, 0.530], loss: 8.070268, mean_absolute_error: 32.353436, mean_q: 41.762360
[F[K  34072/500000: episode: 560, duration: 2.722s, episode steps: 164, steps per second: 60, episode reward: 164.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.707 [0.000, 4.000], mean observation: 0.491 [0.420, 0.520], loss: 6.967979, mean_absolute_error: 32.528046, mean_q: 42.045471
[F[K  34124/500000: episode: 561, duration: 0.823s, episode steps: 52, steps per second: 63, episode reward: 52.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.404 [0.000, 4.000], mean observation: 0.474 [0.350, 0.530], loss: 6.327648, mean_absolute_error: 32.979588, mean_q: 42.566460
[F[K  34194/500000: episode: 562, duration: 1.119s, episode steps: 70, steps per second: 63, episode reward: 70.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.929 [0.000, 4.000], mean observation: 0.499 [0.420, 0.560], loss: 6.888008, mean_absolute_error: 32.618614, mean_q: 42.119194
[F[K  34313/500000: episode: 563, duration: 1.690s, episode steps: 119, steps per second: 70, episode reward: 119.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.008 [0.000, 4.000], mean observation: 0.490 [0.390, 0.530], loss: 6.516085, mean_absolute_error: 32.829739, mean_q: 42.354156
[F[K  34415/500000: episode: 564, duration: 1.511s, episode steps: 102, steps per second: 67, episode reward: 102.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.255 [0.000, 4.000], mean observation: 0.509 [0.480, 0.560], loss: 6.610120, mean_absolute_error: 33.322445, mean_q: 42.996109
[F[K  34480/500000: episode: 565, duration: 0.966s, episode steps: 65, steps per second: 67, episode reward: 65.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.431 [0.000, 4.000], mean observation: 0.508 [0.460, 0.620], loss: 7.864338, mean_absolute_error: 33.354103, mean_q: 42.903534
[F[K  34539/500000: episode: 566, duration: 0.861s, episode steps: 59, steps per second: 69, episode reward: 59.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.203 [0.000, 4.000], mean observation: 0.509 [0.490, 0.570], loss: 7.032303, mean_absolute_error: 32.135921, mean_q: 41.482697
[F[K  34588/500000: episode: 567, duration: 0.918s, episode steps: 49, steps per second: 53, episode reward: 49.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.653 [0.000, 4.000], mean observation: 0.521 [0.470, 0.620], loss: 6.821255, mean_absolute_error: 33.036404, mean_q: 42.461948
[F[K  34650/500000: episode: 568, duration: 0.968s, episode steps: 62, steps per second: 64, episode reward: 62.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.419 [0.000, 4.000], mean observation: 0.511 [0.470, 0.620], loss: 7.093364, mean_absolute_error: 33.794254, mean_q: 43.458687
[F[K  34687/500000: episode: 569, duration: 0.499s, episode steps: 37, steps per second: 74, episode reward: 37.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.405 [0.000, 4.000], mean observation: 0.515 [0.470, 0.650], loss: 6.902080, mean_absolute_error: 32.120781, mean_q: 41.477112
[F[K  34740/500000: episode: 570, duration: 0.759s, episode steps: 53, steps per second: 70, episode reward: 53.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.566 [0.000, 4.000], mean observation: 0.503 [0.470, 0.520], loss: 7.369252, mean_absolute_error: 32.927723, mean_q: 42.329407
[F[K  34809/500000: episode: 571, duration: 1.110s, episode steps: 69, steps per second: 62, episode reward: 69.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.203 [0.000, 4.000], mean observation: 0.502 [0.480, 0.530], loss: 6.867334, mean_absolute_error: 32.390301, mean_q: 41.630848
[F[K  34879/500000: episode: 572, duration: 1.231s, episode steps: 70, steps per second: 57, episode reward: 70.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.114 [0.000, 4.000], mean observation: 0.506 [0.440, 0.620], loss: 6.124451, mean_absolute_error: 32.736649, mean_q: 42.312763
[F[K  34968/500000: episode: 573, duration: 1.180s, episode steps: 89, steps per second: 75, episode reward: 89.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.427 [0.000, 4.000], mean observation: 0.497 [0.360, 0.600], loss: 6.961177, mean_absolute_error: 33.159149, mean_q: 42.750225
[F[K  35041/500000: episode: 574, duration: 1.115s, episode steps: 73, steps per second: 65, episode reward: 73.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.493 [0.000, 4.000], mean observation: 0.510 [0.470, 0.600], loss: 7.522821, mean_absolute_error: 33.226574, mean_q: 42.785927
[F[K  35125/500000: episode: 575, duration: 1.595s, episode steps: 84, steps per second: 53, episode reward: 84.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.083 [0.000, 4.000], mean observation: 0.485 [0.370, 0.530], loss: 7.212514, mean_absolute_error: 32.278000, mean_q: 41.683392
[F[K  35204/500000: episode: 576, duration: 1.363s, episode steps: 79, steps per second: 58, episode reward: 79.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.177 [0.000, 4.000], mean observation: 0.494 [0.390, 0.530], loss: 6.137192, mean_absolute_error: 33.350609, mean_q: 43.060154
[F[K  35256/500000: episode: 577, duration: 0.840s, episode steps: 52, steps per second: 62, episode reward: 52.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.077 [0.000, 4.000], mean observation: 0.477 [0.360, 0.510], loss: 8.305326, mean_absolute_error: 32.980511, mean_q: 42.442505
[F[K  35329/500000: episode: 578, duration: 1.176s, episode steps: 73, steps per second: 62, episode reward: 73.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.890 [0.000, 4.000], mean observation: 0.518 [0.490, 0.640], loss: 6.923439, mean_absolute_error: 33.489120, mean_q: 43.101501
[F[K  35410/500000: episode: 579, duration: 1.259s, episode steps: 81, steps per second: 64, episode reward: 81.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.210 [0.000, 4.000], mean observation: 0.499 [0.410, 0.560], loss: 7.154980, mean_absolute_error: 32.903236, mean_q: 42.461842
[F[K  35449/500000: episode: 580, duration: 0.711s, episode steps: 39, steps per second: 55, episode reward: 39.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.692 [0.000, 4.000], mean observation: 0.524 [0.470, 0.630], loss: 7.048663, mean_absolute_error: 33.143913, mean_q: 42.715046
[F[K  35483/500000: episode: 581, duration: 0.633s, episode steps: 34, steps per second: 54, episode reward: 34.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.706 [0.000, 4.000], mean observation: 0.525 [0.470, 0.630], loss: 7.225416, mean_absolute_error: 32.564301, mean_q: 41.949944
[F[K  35596/500000: episode: 582, duration: 2.253s, episode steps: 113, steps per second: 50, episode reward: 113.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.027 [0.000, 4.000], mean observation: 0.507 [0.470, 0.550], loss: 6.808949, mean_absolute_error: 32.558941, mean_q: 41.991905
[F[K  35716/500000: episode: 583, duration: 1.836s, episode steps: 120, steps per second: 65, episode reward: 120.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.450 [0.000, 4.000], mean observation: 0.503 [0.460, 0.550], loss: 6.260818, mean_absolute_error: 32.651363, mean_q: 42.199619
[F[K  35808/500000: episode: 584, duration: 1.418s, episode steps: 92, steps per second: 65, episode reward: 92.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.250 [0.000, 4.000], mean observation: 0.483 [0.410, 0.530], loss: 6.491560, mean_absolute_error: 32.744884, mean_q: 42.277840
[F[K  35865/500000: episode: 585, duration: 0.948s, episode steps: 57, steps per second: 60, episode reward: 57.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.579 [0.000, 3.000], mean observation: 0.475 [0.350, 0.510], loss: 6.291553, mean_absolute_error: 32.633797, mean_q: 42.138103
[F[K  35947/500000: episode: 586, duration: 1.563s, episode steps: 82, steps per second: 52, episode reward: 82.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.890 [0.000, 4.000], mean observation: 0.513 [0.490, 0.590], loss: 7.209206, mean_absolute_error: 33.363392, mean_q: 42.920811
[F[K  36003/500000: episode: 587, duration: 1.036s, episode steps: 56, steps per second: 54, episode reward: 56.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.536 [0.000, 4.000], mean observation: 0.506 [0.440, 0.620], loss: 7.238225, mean_absolute_error: 33.054661, mean_q: 42.635925
[F[K  36060/500000: episode: 588, duration: 1.014s, episode steps: 57, steps per second: 56, episode reward: 57.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.754 [0.000, 4.000], mean observation: 0.479 [0.380, 0.500], loss: 6.990194, mean_absolute_error: 32.591885, mean_q: 42.009403
[F[K  36135/500000: episode: 589, duration: 1.409s, episode steps: 75, steps per second: 53, episode reward: 75.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.013 [0.000, 4.000], mean observation: 0.485 [0.380, 0.530], loss: 6.450394, mean_absolute_error: 32.768250, mean_q: 42.376064
[F[K  36189/500000: episode: 590, duration: 0.954s, episode steps: 54, steps per second: 57, episode reward: 54.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.037 [0.000, 4.000], mean observation: 0.506 [0.470, 0.550], loss: 6.429981, mean_absolute_error: 33.473324, mean_q: 43.209873
[F[K  36229/500000: episode: 591, duration: 0.745s, episode steps: 40, steps per second: 54, episode reward: 40.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.675 [0.000, 3.000], mean observation: 0.529 [0.470, 0.650], loss: 8.853994, mean_absolute_error: 32.384617, mean_q: 41.781307
[F[K  36335/500000: episode: 592, duration: 1.740s, episode steps: 106, steps per second: 61, episode reward: 106.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.113 [0.000, 4.000], mean observation: 0.480 [0.380, 0.530], loss: 6.720509, mean_absolute_error: 32.946117, mean_q: 42.532810
[F[K  36415/500000: episode: 593, duration: 1.415s, episode steps: 80, steps per second: 57, episode reward: 80.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.863 [0.000, 4.000], mean observation: 0.505 [0.470, 0.540], loss: 7.339622, mean_absolute_error: 33.702709, mean_q: 43.312984
[F[K  36450/500000: episode: 594, duration: 0.582s, episode steps: 35, steps per second: 60, episode reward: 35.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.657 [0.000, 4.000], mean observation: 0.516 [0.470, 0.640], loss: 6.861295, mean_absolute_error: 32.681919, mean_q: 42.061443
